radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,410,8840,41733647,0,-86.7354,36.2672,8495,35,1,1366158017,1762349102,0
GSM,310,260,31402,5782,0,-86.4338,35.8342,1858,5,1,1377792517,1768540761,0
LTE,310,410,8195,39250952,0,-86.5212,36.7167,2386,27,1,1393904641,1786566061,0
LTE,310,410,8834,41832456,0,-87.306,36.625,6904,27,1,1401568157,1773936371,0
LTE,310,410,9101,42243337,0,-85.171,35.0277,1285,50,1,1411773494,1787513525,0
LTE,310,410,8849,41954064,0,-85.5387,35.3476,16419,50,1,1413220243,1748327799,0
LTE,310,260,43777,6388481,0,-86.7396,36.071,7805,32,1,1413613052,1767454503,0
LTE,310,410,8195,39251977,0,-86.4408,36.8917,6209,27,1,1414539905,1785412621,0
LTE,310,260,43777,6382337,0,-86.8226,36.1597,1899,30,1,1415870548,1767442805,0
LTE,310,410,9101,42243336,0,-85.1511,35.0457,14939,50,1,1423176263,1787513526,0
LTE,310,410,8836,41857295,0,-87.1517,36.0509,20445,38,1,1426435149,1752558142,0
LTE,310,410,8834,41790472,0,-87.3617,36.6538,7229,30,1,1428622289,1773936845,0
LTE,310,410,8849,42242575,0,-85.3602,35.3942,5284,51,1,1429280701,1747012404,0
LTE,310,410,9101,42265352,0,-85.1516,35.0367,15602,32,1,1429481072,1787513525,0
LTE,310,410,8834,41764874,0,-87.2885,36.6058,6408,14,1,1429973238,1782917461,0
LTE,310,410,8832,41781519,0,-86.9071,35.5558,810,50,1,1430792167,1756422182,0
LTE,310,410,8832,41840399,0,-86.8828,35.4443,2646,27,1,1430792167,1770128162,0
LTE,310,410,8838,41749257,0,-86.6689,36.1349,2856,50,1,1431374834,1772487488,0
LTE,310,410,8838,41766410,0,-86.6768,36.1126,7200,50,1,1431374834,1753355404,0
LTE,310,260,43777,6381059,0,-86.8174,36.1532,2670,50,1,1432775638,1759956183,0
LTE,310,260,43777,6381826,0,-86.7765,36.1225,3896,28,1,1432775639,1767478143,0
LTE,310,260,43777,6379521,0,-86.7688,36.1081,1336,27,1,1432775639,1767478143,0
LTE,310,260,43777,6868227,0,-86.5928,36.1692,9029,33,1,1432775643,1788291485,0
LTE,310,260,43777,6996481,0,-86.6233,36.1588,5658,30,1,1432775650,1788291485,0
LTE,310,410,8704,41239306,0,-88.862,35.6664,9517,27,1,1433803256,1746846303,0
LTE,310,410,8704,41332744,0,-88.7767,35.6821,19667,40,1,1433803261,1746846305,0
LTE,310,410,8834,41778696,0,-87.4513,36.6889,4863,8,1,1434334856,1782916503,0
LTE,310,410,9101,42275345,0,-85.2549,35.1247,2514,23,1,1441504419,1747001883,0
LTE,310,260,43777,6381057,0,-86.7936,36.1817,6065,26,1,1442542448,1767442805,0
LTE,310,260,43777,6382338,0,-86.8186,36.15,2312,41,1,1442542448,1759890422,0
